nome,class,país,ano,lucro,custo,vitórias,indicações,nota_media,total_votos,filme_categoria
...E o Vento Levou,Livre,EUA,1939,402382193,3977000,21,9,8.088,334400,Melhores
12 Anos de Escravidão,14,Reino Unido,2013,187734091,20000000,244,337,8.078,741500,Melhores
12 Homens e uma Sentença,Livre,EUA,1957,2667,350000,16,12,8.807,865200,Melhores
1917,14,Reino Unido,2019,384580017,95000000,135,207,8.248,675300,Melhores
2001: Uma Odisséia no Espaço,Livre,Reino Unido,1968,66613487,12000000,18,14,8.138,718900,Melhores
3 Idiotas,12,Índia,2009,60262836,6600000,65,30,8.5,436100,Melhores
A Batalha de Argel,14,Itália,1966,962002,800000,9,8,7.835,66156,Melhores
A Caça,14,Dinamarca,2012,15886373,2800000.0000000005,38,73,8.235,364500,Melhores
A Criada,18,Coreia do Sul,2016,37863670,7200000,69,104,8.059000000000001,171893,Melhores
A Felicidade Não se Compra,Livre,EUA,1946,9767242,3180000,7,6,8.474,499000,Melhores
A General,Livre,EUA,1926,612,750000,2,1,7.889,98906,Melhores
A Lista de Schindler,14,EUA,1993,322161245,22000000,91,49,8.771,1451400,Melhores
A Malvada,Livre,EUA,1950,152366,1400000,27,20,8.05,139525,Melhores
A Mulher Faz o Homem,Livre,EUA,1939,145941,1900000,5,12,7.9719999999999995,122175,Melhores
A Noviça Rebelde,Livre,EUA,1965,159470403,8200000,18,13,8.112,261900,Melhores
A Origem,14,EUA,2010,839030630,160000000,159,220,8.693000000000001,2552100,Melhores
A Outra História Americana,14,EUA,1998,23875714,20000000,4,15,8.456,1186200,Melhores
A Ponte do Rio Kwai,12,Reino Unido,1957,27200463,3000000,30,7,8.084,232825,Melhores
A Queda! As Últimas Horas de Hitler,16,Alemanha,2004,92181574,14445000,22,34,8.189,375900,Melhores
A Separação,12,Irã,2011,22926076,500000,88,52,8.309,258700,Melhores
A Viagem de Chihiro,Livre,Japão,2001,357561772,19000000,58,31,8.524000000000001,849300,Melhores
A Vida dos Outros,12,Alemanha,2006,77357476,2000000,80,38,8.349,411800,Melhores
A Vida é Bela,Livre,Itália,1997,230099013,20000000,72,52,8.584,744100,Melhores
Aconteceu Naquela Noite,Livre,EUA,1934,15613,325000,11,2,7.942,111747,Melhores
Aladdin,Livre,EUA,1992,504050219,28000000,35,22,8.051,466000,Melhores
Alien - O 8º Passageiro,14,Reino Unido,1979,107835946,11000000,19,22,8.376,951900,Melhores
"Aliens, O Resgate",14,Reino Unido,1986,131060248,18500000,20,25,8.311,763000,Melhores
Amadeus,Livre,EUA,1984,52068956,18000000,43,15,8.266,427300,Melhores
Amnésia,16,EUA,2000,40047236,9000000,57,59,8.337,1324200,Melhores
Amores Brutos,16,México,2000,20908467,2000000,55,24,8.006,251900,Melhores
Antes do Amanhecer,12,EUA,1995,5992863,2500000,0,7,8.112,339700,Melhores
Antes do Pôr do Sol,12,França,2004,15854926,2700000,9,32,8.015,287400,Melhores
Apocalypse Now,16,EUA,1979,104911671,31500000,21,33,8.31,709900,Melhores
Até o Último Homem,16,EUA,2016,180563636,40000000,56,115,8.209,594000,Melhores
Barry Lyndon,Livre,Reino Unido,1975,260131,11000000,17,14,8.048,183100,Melhores
Bastardos Inglórios,18,Alemanha,2009,321458605,70000000,134,172,8.261,1583900,Melhores
Batman Begins,10,EUA,2005,375325692,150000000,15,79,8.214,1578100,Melhores
Batman: O Cavaleiro das Trevas,12,EUA,2008,1008486720,185000000,163,164,8.917,2866800,Melhores
Batman: O Cavaleiro das Trevas Ressurge,12,EUA,2012,1085289416,250000000,45,103,8.43,1827900,Melhores
Beleza Americana,14,EUA,1999,356296601,15000000,112,102,8.212000000000002,1210800,Melhores
Ben-Hur,12,EUA,1959,74437981,15000000,29,13,8.042,254300,Melhores
Blade Runner - O Caçador de Androides,14,EUA,1982,41754158,28000000,13,22,8.122,822200,Melhores
Brilho Eterno de uma Mente sem Lembranças,14,EUA,2004,73390334,20000000,73,111,8.235999999999999,1077200,Melhores
Cafarnaum,16,Líbano,2018,64417003,4000000,39,55,8.376000000000001,105276,Melhores
Cantando na Chuva,Livre,EUA,1952,2010042,2540800,8,9,8.195,261000,Melhores
Casablanca,Livre,EUA,1942,4656207,950000,14,11,8.348,604700,Melhores
Cassino,18,EUA,1995,116112375,52000000,4,11,8.184999999999999,563700,Melhores
Chinatown,12,EUA,1974,29229859,6000000,21,24,8.113,349100,Melhores
Cidade de Deus,18,Brasil,2002,30680793,594000,75,50,8.51,800300,Melhores
